wallet,kmeans_cluster,dbscan_cluster
0x0e2a06ed8bf40006b3407f57094153f56b78557c,1,-1
0x4976a4a02f38326660d17bf34b431dc6e2eb2327,2,-1
0x56e7e82fc06e1e7bc1dceb96ff58e52f9b145337,3,0
0x5f735a5cd685c61e2e9a7c48024b7b5f3fa06a0b,1,-1
0x7d41e69ae0df9a4ad27b76dae6cbcb078f78cca5,1,-1
0x7eef28976548c33bac91c423501f189cf55a34a8,0,-1
0x8e3e5eec92c401d26b9e5eb17cba828772736558,3,0
0xa1b21bbcfbc9bba21bfbb58f7f59115b99a3a594,3,0
0xad621cd8f0c4b283db2fa1b92f79219a8b6a281d,3,0
0xb32180bce0b0dd40d31fccf9ea313e3e94f5ed07,3,-1
0xba7ac931d8dcb64182df646c353c0673168484a6,3,0
0xc829700218ca0526eee697f48602aa474a162f92,3,0
0xde9ae6603b12b32dd9e58cf8946a3980ffa92f90,1,0
0xfeac37ccc4afbc8ae635b510be41d2eac8e171ed,1,-1
